City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Belmonte,BR,-15.8631,-38.8828,81.1,87,17,5.99,few clouds
315,Bardiyah,LY,31.7561,25.0865,52.72,54,58,22.84,broken clouds
316,Saravan,AM,39.7196,45.6483,20.05,89,81,4.47,broken clouds
317,Takoradi,GH,4.8845,-1.7554,78.31,86,21,6.6,few clouds
318,Darhan,MN,49.4867,105.9228,2.28,97,100,1.03,overcast clouds
319,College,US,64.8569,-147.8028,3.18,77,75,4.61,broken clouds
320,Port Townsend,US,48.117,-122.7605,49.69,86,100,1.99,overcast clouds
321,Qui Nhon,VN,13.7667,109.2333,75.16,88,99,6.69,overcast clouds
322,Broome,US,42.2506,-75.833,27.37,74,100,8.05,overcast clouds
323,Upernavik,GL,72.7868,-56.1549,-16.6,90,90,6.85,overcast clouds
324,Tehachapi,US,35.1322,-118.449,67.41,19,41,5.08,scattered clouds
325,Narsaq,GL,60.9167,-46.05,-10.73,77,19,8.34,few clouds
326,Husavik,IS,66.0449,-17.3389,28.31,96,100,23.91,snow
327,Acarau,BR,-2.8856,-40.12,79.43,81,29,12.71,scattered clouds
328,Barcelos,PT,41.5388,-8.6151,53.69,65,0,5.57,clear sky
329,Llanes,ES,43.4198,-4.7549,50.9,65,8,4.12,clear sky
330,Fairbanks,US,64.8378,-147.7164,6.76,68,75,4.61,broken clouds
331,Amahai,ID,-3.3333,128.9167,84.9,67,77,1.54,broken clouds
332,Ninghai,CN,29.2892,121.4247,45.73,86,100,2.28,overcast clouds
333,Geraldton,AU,-28.7667,114.6,73.13,64,0,17.27,clear sky
334,The Valley,AI,18.217,-63.0578,77.83,65,30,19.13,scattered clouds
335,Guayaramerin,BO,-10.8368,-65.3614,73.31,97,100,1.45,overcast clouds
336,San Marcos,US,33.1434,-117.1661,77.02,39,100,4.09,overcast clouds
337,Heishan,CN,41.6892,122.1128,27.18,56,0,7.99,clear sky
338,Pimentel,PE,-6.8367,-79.9342,71.62,78,100,11.1,overcast clouds
339,Concepcion Del Uruguay,AR,-32.4825,-58.2372,70.99,69,0,7.92,clear sky
340,Coihaique,CL,-45.5752,-72.0662,60.75,41,40,10.36,scattered clouds
341,Parana,AR,-31.732,-60.5238,75.51,57,0,5.79,clear sky
342,Kyzyl-Suu,KG,42.3414,78.0056,18.82,65,57,9.26,broken clouds
343,Dharmadam,IN,11.7833,75.4333,71.49,89,100,3.33,overcast clouds
