City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
575,Bambanglipuro,ID,79.75,overcast clouds,-7.95,110.2833,Puri Brata
576,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
578,Luwuk,ID,84.85,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
579,Kango,GA,74.68,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
581,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
582,Tomatlan,MX,71.35,clear sky,19.9333,-105.25,El Salvial
588,Bella Union,UY,68.95,clear sky,-30.2752,-57.6007,Saville Free Shop
590,Manicore,BR,74.1,moderate rain,-5.8092,-61.3003,Hotel Durval
596,Kidal,ML,67.24,clear sky,18.4411,1.4078,
600,Manali,IN,78.08,overcast clouds,13.1667,80.2667,Sarathy Lodge
610,Kaura Namoda,NG,69.46,overcast clouds,12.5898,6.5779,Moonlight Hotel
614,Fortaleza,BR,82.22,broken clouds,-3.7227,-38.5247,Hotel Sonata de Iracema
616,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
618,Camacupa,AO,61.09,overcast clouds,-12.0167,17.4833,
619,San Jose,US,72.09,clear sky,37.3394,-121.895,The Westin San Jose
623,Turiacu,BR,74.5,broken clouds,-1.6633,-45.3717,Pousada Maranata
624,Isla Mujeres,MX,69.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
625,Carauari,BR,73.29,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
626,Tamandare,BR,78.96,few clouds,-8.7597,-35.1047,Pousada 100 Passos
627,Puerto Del Rosario,ES,71.35,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
